Vendor,Item,SKU,Unit Price,Quantity,Line Total
Melonbotics,Encoder,,$38.99,2,$77.98
Melonbotics,45A Rubber Wheel Tread (180-3M 15mm wide),,$4.99,2,$9.98
goBILDA,2317 Series MOD 0.8 Steel Miter Gear (Set-Screw 8mm REX Bore 24 Tooth),2317-4008-0024,$8.99,8,$71.92
goBILDA,2807 Series Stainless Steel Shim (4mm ID x 7mm OD 0.25mm Thickness 12-Pack),2807-0407-0250,$1.72,1,$1.72
goBILDA,2302 Series Aluminum MOD 0.8 Hub Mount Gear (14mm Bore 108 Tooth),2302-0014-0108,$12.74,4,$50.96
goBILDA,48mm Omni Wheel (8mm REX Bore 50A Durometer),3624-4008-0048,$12.74,4,$50.96
goBILDA,GripForce Gecko Wheel (8mm REX Bore 48mm Diameter),3613-4008-0048,$5.99,4,$23.96
Limelight Vision,Limelight 3A,,$189.00,1,$189.00
AndyMark,Gray Grippy Tread 1 in. Wide 10 ft. Long,am-2611a,$25.00,1,$25.00
Melonbotics,Tax (5.5%),,,,$4.84
Melonbotics,Shipping,,,,$8.80
goBILDA,Tax (5.5%),,,,$9.66
goBILDA,Shipping,,,,$11.99
Limelight Vision,Tax (5.5%),,,,$10.40
Limelight Vision,Shipping,,,,$23.54
AndyMark,Tax (5.5%),,,,$1.38
AndyMark,Shipping,,,,$11.99
